epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,3183.5,1.15571,1.32937,1.40176,0.5314,0.60033,0.60288,0.41184,1.2238,1.33882,1.41877,0.00026575,0.00026575,0.00026575
91,3218.72,1.17483,1.34089,1.42616,0.51865,0.63648,0.59659,0.40934,1.23235,1.35464,1.43316,0.0002575,0.0002575,0.0002575
92,3253.97,1.1721,1.37519,1.42144,0.5509,0.62867,0.61334,0.42411,1.22619,1.38758,1.42085,0.00024925,0.00024925,0.00024925
93,3289.39,1.16642,1.34589,1.41897,0.60757,0.60791,0.6321,0.43841,1.23539,1.32424,1.4205,0.000241,0.000241,0.000241
94,3324.59,1.16234,1.3347,1.41688,0.5327,0.64157,0.61533,0.42499,1.22417,1.34685,1.40859,0.00023275,0.00023275,0.00023275
95,3359.75,1.15952,1.32169,1.41349,0.54754,0.61263,0.61362,0.42225,1.22744,1.36324,1.40899,0.0002245,0.0002245,0.0002245
96,3395.02,1.15625,1.31378,1.4113,0.55851,0.60502,0.59955,0.4118,1.23634,1.36797,1.42301,0.00021625,0.00021625,0.00021625
97,3430.33,1.15281,1.31336,1.40911,0.55949,0.58947,0.60418,0.40767,1.22498,1.36138,1.41733,0.000208,0.000208,0.000208
98,3465.73,1.15495,1.30177,1.4032,0.59243,0.55926,0.60974,0.41507,1.23221,1.36034,1.4249,0.00019975,0.00019975,0.00019975
99,3501.11,1.16082,1.31861,1.40686,0.52597,0.60072,0.61282,0.42361,1.2238,1.32726,1.40335,0.0001915,0.0001915,0.0001915
100,3536.63,1.15799,1.29639,1.40243,0.54355,0.59945,0.5974,0.41155,1.23307,1.37463,1.41673,0.00018325,0.00018325,0.00018325
