epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
69,3418.58,1.02081,0.6658,0.00749,4e-05,0.67792,0.64385,0.75251,0.59726,0.90785,0.56863,0.01032,6e-05,0.000439,0.000439,0.000439
70,3468.15,1.00807,0.64612,0.00752,4e-05,0.58969,0.66457,0.69269,0.5481,0.90043,0.56994,0.01031,3e-05,0.00043075,0.00043075,0.00043075
71,3517.1,0.99804,0.65623,0.00777,4e-05,0.67154,0.7064,0.73855,0.58113,0.90985,0.56339,0.01026,4e-05,0.0004225,0.0004225,0.0004225
72,3566.2,1.01274,0.65724,0.0076,4e-05,0.7215,0.60397,0.71536,0.5658,0.89326,0.57669,0.01015,4e-05,0.00041425,0.00041425,0.00041425
73,3615,1.01552,0.66064,0.00757,5e-05,0.6211,0.68259,0.70003,0.54458,0.89496,0.55638,0.01012,7e-05,0.000406,0.000406,0.000406
74,3663.57,0.98488,0.64148,0.00782,6e-05,0.63694,0.79051,0.73924,0.58032,0.89178,0.55126,0.01,4e-05,0.00039775,0.00039775,0.00039775
75,3711.7,1.00688,0.64658,0.00759,4e-05,0.72698,0.64558,0.77055,0.6161,0.89591,0.54392,0.01003,2e-05,0.0003895,0.0003895,0.0003895
76,3760.51,1.00088,0.64248,0.00777,4e-05,0.6872,0.68538,0.70238,0.5467,0.90188,0.54314,0.01024,3e-05,0.00038125,0.00038125,0.00038125
77,3809.83,0.98918,0.64106,0.00769,6e-05,0.6436,0.76123,0.7073,0.55212,0.89206,0.55777,0.01012,5e-05,0.000373,0.000373,0.000373
78,3858.12,0.98382,0.63802,0.00763,4e-05,0.67648,0.7637,0.73569,0.57502,0.89045,0.55519,0.01017,3e-05,0.00036475,0.00036475,0.00036475
79,3906.65,0.99591,0.63425,0.00746,4e-05,0.63857,0.77475,0.74556,0.58176,0.8953,0.57243,0.01019,4e-05,0.0003565,0.0003565,0.0003565
80,3955.52,0.99859,0.63488,0.00759,4e-05,0.71543,0.73188,0.73637,0.57089,0.89624,0.56658,0.01009,3e-05,0.00034825,0.00034825,0.00034825
81,4004.29,0.99963,0.64813,0.00767,6e-05,0.72222,0.66018,0.70909,0.55395,0.89848,0.52399,0.01005,4e-05,0.00034,0.00034,0.00034
82,4053.08,0.9868,0.62942,0.00745,7e-05,0.62356,0.68229,0.69923,0.54664,0.88795,0.54862,0.0108,4e-05,0.00033175,0.00033175,0.00033175
83,4101.91,0.99947,0.63921,0.00777,6e-05,0.89126,0.59645,0.78156,0.62033,0.88834,0.56051,0.01063,6e-05,0.0003235,0.0003235,0.0003235
84,4150.67,1.00271,0.64891,0.00752,5e-05,0.64353,0.73057,0.73355,0.58747,0.88143,0.56964,0.0102,5e-05,0.00031525,0.00031525,0.00031525
85,4199.44,0.9927,0.63447,0.00748,4e-05,0.85937,0.60544,0.76659,0.60343,0.88356,0.55796,0.01016,3e-05,0.000307,0.000307,0.000307
86,4249.16,0.98623,0.62947,0.00757,4e-05,0.69037,0.74568,0.73881,0.58705,0.88603,0.53421,0.01013,3e-05,0.00029875,0.00029875,0.00029875
87,4299.1,0.98871,0.63019,0.00762,4e-05,0.7224,0.73379,0.78157,0.62795,0.88848,0.52848,0.01011,3e-05,0.0002905,0.0002905,0.0002905
88,4347.89,0.98605,0.62481,0.00755,4e-05,0.86642,0.60634,0.76421,0.6095,0.88962,0.57198,0.01041,3e-05,0.00028225,0.00028225,0.00028225
89,4397.41,0.98284,0.62137,0.00758,4e-05,0.75563,0.62339,0.70758,0.55982,0.89129,0.52803,0.01023,3e-05,0.000274,0.000274,0.000274
90,4446.87,0.98545,0.62089,0.00786,6e-05,0.68577,0.62016,0.75707,0.60238,0.88802,0.49367,0.01024,3e-05,0.00026575,0.00026575,0.00026575
91,4495.56,0.98381,0.62551,0.0077,5e-05,0.77836,0.5971,0.73415,0.58156,0.89913,0.52053,0.01042,4e-05,0.0002575,0.0002575,0.0002575
92,4544.15,0.9741,0.62338,0.00758,5e-05,0.71605,0.6249,0.73763,0.57932,0.8968,0.52032,0.01018,4e-05,0.00024925,0.00024925,0.00024925
93,4593.28,0.97547,0.62281,0.00762,4e-05,0.84218,0.60137,0.7512,0.60334,0.88726,0.54625,0.01041,3e-05,0.000241,0.000241,0.000241
94,4643.03,0.9756,0.61123,0.00762,4e-05,0.7426,0.67134,0.73768,0.5857,0.88766,0.52296,0.01012,2e-05,0.00023275,0.00023275,0.00023275
95,4691.69,0.98422,0.62587,0.00753,5e-05,0.74141,0.63465,0.72278,0.57565,0.88297,0.52311,0.0101,3e-05,0.0002245,0.0002245,0.0002245
96,4740.66,0.96055,0.60547,0.00764,5e-05,0.74274,0.66174,0.72837,0.57968,0.8849,0.52353,0.01034,2e-05,0.00021625,0.00021625,0.00021625
97,4790.09,0.97746,0.60949,0.00746,4e-05,0.76957,0.64211,0.76508,0.61001,0.87976,0.52801,0.0103,3e-05,0.000208,0.000208,0.000208
98,4838.83,0.9628,0.60531,0.0077,5e-05,0.84557,0.72556,0.81393,0.64143,0.88572,0.51841,0.01043,3e-05,0.00019975,0.00019975,0.00019975
99,4887.87,0.97736,0.6062,0.00749,4e-05,0.66156,0.78907,0.77758,0.61705,0.88345,0.52408,0.01028,4e-05,0.0001915,0.0001915,0.0001915
