epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,362.488,1.30996,1.36899,1.39922,0.45582,0.63553,0.48787,0.24111,2.12179,2.04278,2.09463,0.0002245,0.0002245,0.0002245
96,366.33,1.26122,1.37486,1.42444,0.44161,0.57143,0.50213,0.25211,2.15689,1.95613,2.12512,0.00021625,0.00021625,0.00021625
97,370.132,1.35479,1.42338,1.44996,0.60154,0.48496,0.49549,0.23597,2.30078,1.92483,2.27975,0.000208,0.000208,0.000208
98,373.888,1.2946,1.30246,1.36361,0.57076,0.45763,0.47058,0.22356,2.34053,2.02013,2.33599,0.00019975,0.00019975,0.00019975
99,377.709,1.30695,1.43501,1.39566,0.53097,0.60468,0.54859,0.24926,2.12714,2.09542,2.16332,0.0001915,0.0001915,0.0001915
100,381.405,1.2288,1.31471,1.38448,0.58737,0.51049,0.52673,0.25826,2.00379,2.09425,2.03958,0.00018325,0.00018325,0.00018325
101,385.233,1.31487,1.34248,1.41246,0.48304,0.61241,0.54451,0.23976,2.06691,2.14703,2.06682,0.000175,0.000175,0.000175
102,389.005,1.24522,1.2798,1.37724,0.61164,0.53689,0.52383,0.22333,2.16986,2.16945,2.14466,0.00016675,0.00016675,0.00016675
103,392.801,1.22816,1.17547,1.32077,0.61534,0.55961,0.58376,0.22398,2.31162,2.11289,2.26721,0.0001585,0.0001585,0.0001585
104,396.544,1.26087,1.29529,1.3516,0.57919,0.58951,0.61342,0.24248,2.30645,2.01966,2.27404,0.00015025,0.00015025,0.00015025
105,400.371,1.27258,1.26386,1.35803,0.71991,0.56645,0.60461,0.26098,2.24107,1.90933,2.19306,0.000142,0.000142,0.000142
106,404.212,1.22438,1.3203,1.36935,0.64561,0.60707,0.57473,0.25572,2.22855,1.85022,2.18631,0.00013375,0.00013375,0.00013375
107,408.059,1.33585,1.40896,1.50112,0.62347,0.61842,0.57581,0.25482,2.17306,1.77447,2.16007,0.0001255,0.0001255,0.0001255
108,411.805,1.25314,1.21419,1.37054,0.63989,0.61277,0.59524,0.2611,2.21734,1.75208,2.23262,0.00011725,0.00011725,0.00011725
109,415.653,1.29109,1.26815,1.39639,0.53373,0.64286,0.58376,0.25192,2.23359,1.76707,2.24919,0.000109,0.000109,0.000109
110,419.458,1.17969,1.16888,1.32688,0.52594,0.64286,0.58457,0.25349,2.20088,1.78373,2.19997,0.00010075,0.00010075,0.00010075
